Município,IVAF,IPA,IPOPR,IPROPR,IFAREA,IFAMB,IFIGUAL
619 - Guaraci,"0,0007523749243","0,002288270538","0,0006704381806","0,0007924624895","0,001061065606",0,"0,002506265664"
407 - Guaraniacu,"0,001117740914","0,004404721142","0,00442476143","0,004709190812","0,006189482662","0,00000894531627","0,002506265664"
401 - Guarapuava,"0,01345494208","0,01073343494","0,009358063602","0,008301570548","0,01582712836","0,001755607882","0,002506265664"
115 - Guaraquecaba,"0,00006624749467","0,0004452528175","0,003386789952","0,001279861985","0,01153133361","0,01482305948","0,002506265664"
119 - Guaratuba,"0,0006689548205","0,001512976742","0,002147752302","0,00161648322","0,006625456149","0,006505111989","0,002506265664"
343 - Honorio Serpa,"0,0006278719863","0,001937446176","0,002589706195","0,001630509105","0,002516678713",0,"0,002506265664"
526 - Ibaiti,"0,001157051951","0,00453509211","0,003678597028","0,00396932539","0,004496670762","0,0006551076224","0,002506265664"
445 - Ibema,"0,000373060749","0,001174043324","0,0007344137811","0,0005785677468","0,0007517715863",0,"0,002506265664"
605 - Ibipora,"0,007910547137","0,001844315002","0,001503426612","0,002079337417","0,001489084102","0,0001500561988","0,002506265664"
823 - Icaraima,"0,0005721969828","0,001768263917","0,001696659037","0,002752579886","0,003474629635","0,003254812653","0,002506265664"
632 - Iguaracu,"0,0005000396465","0,001764482684","0,0002761395817","0,0006574633486","0,0008194140184",0,"0,002506265664"
452 - Iguatu,"0,0001433408654","0,0008909460662","0,0005196385509","0,0005873339248","0,0005367366949","0,00006146639058","0,002506265664"
226 - Imbau,"0,0003289365838","0,0004742495603","0,002750950821","0,001346484938","0,001659340905","0,00001311642269","0,002506265664"
215 - Imbituva,"0,001851266781","0,004246669382","0,006898267045","0,008824034756","0,00380178486","0,00000316416401","0,002506265664"
402 - Inacio Martins,"0,000258261022","0,002870181731","0,003038841023","0,002165245961","0,004695745641","0,01096244331","0,002506265664"
719 - Inaja,"0,0001200687118","0,0004892054494","0,0001481883807","0,000399737716","0,0009698583922",0,"0,002506265664"
838 - Indianopolis,"0,001208608637","0,0009580755073","0,0007520397119","0,001276355514","0,0006196887307",0,"0,002506265664"
213 - Ipiranga,"0,001275677141","0,003622620671","0,006045694246","0,004458478121","0,004636158262","0,00002213708624","0,002506265664"
820 - Ipora,"0,001153437902","0,002551367836","0,002091610449","0,004239323672","0,003274654191","0,001251115958","0,002506265664"
453 - Iracema do Oeste,"0,0002721594992","0,0009084935953","0,0003760198559","0,0007486315996","0,0004097070092",0,"0,002506265664"
217 - Irati,"0,002947830904","0,004931741471","0,007360458118","0,009898768177","0,005003488688","0,003452659937","0,002506265664"
808 - Iretama,"0,0005056140264","0,001699919064","0,002895222328","0,002896345205","0,002856792066",0,"0,002506265664"
626 - Itaguaje,"0,0003352857804","0,0008428316276","0,0006084210169","0,0007714236624","0,0009368877097","0,0001244484041","0,002506265664"
454 - Itaipulandia,"0,001315964145","0,002759155129","0,002797300491","0,001262329629","0,001645131991",0,"0,002506265664"
517 - Itambaraca,"0,0004236482191","0,001049323463","0,001096071768","0,001314926697","0,001037650918",0,"0,002506265664"
